date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,MAR001,84.0,78.8,169006,98.8,15.8
2026-01-01,MAR002,83.8,79.8,91417,78.1,52.4
2026-01-01,MAR003,89.6,48.3,48519,95.4,44.5
2026-01-01,MAR004,96.9,34.9,178286,89.6,13.5
2026-01-01,MAR005,88.3,33.6,18661,78.2,38.2
2026-01-01,MAR006,60.8,44.0,149612,81.7,64.0
2026-01-01,MAR007,64.2,28.0,60947,72.7,52.5
2026-01-01,MAR008,84.5,69.5,60426,63.5,68.3
2026-01-01,MAR009,75.4,55.1,13978,68.5,86.3
2026-01-01,MAR010,42.0,82.8,118704,89.0,62.8
2026-01-01,MAR011,92.7,40.3,168545,65.9,35.7
2026-01-01,MAR012,60.4,28.0,95028,96.2,85.9
2026-01-01,MAR013,45.6,71.2,16486,62.2,27.4
2026-01-01,MAR014,51.9,29.3,183286,83.6,42.5
2026-01-01,MAR015,65.3,47.1,137905,93.3,65.5
2026-01-01,MAR016,64.8,53.3,134127,73.9,32.3
2026-01-01,MAR017,61.3,33.1,52368,66.5,32.3
2026-01-01,MAR018,57.7,29.8,184253,96.0,10.2
2026-01-01,MAR019,95.0,41.4,38997,66.4,27.6
2026-01-01,MAR020,43.0,41.6,95534,76.4,33.6
2026-01-01,MAR021,65.3,69.8,163621,67.6,70.5
2026-01-01,MAR022,89.2,69.1,89288,78.3,47.4
2026-01-01,MAR023,72.3,51.2,147230,62.7,17.2
2026-01-01,MAR024,59.6,35.4,37318,91.9,23.0
2026-01-01,MAR025,71.7,24.9,121279,95.3,73.3
2026-01-01,MAR026,91.6,61.3,92838,82.3,44.3
2026-01-01,MAR027,84.1,43.9,96428,94.7,43.6
2026-01-01,MAR028,70.7,80.9,183803,64.4,13.2
2026-01-01,MAR029,76.8,76.0,125667,85.4,54.8
2026-01-01,MAR030,78.4,71.0,176688,75.3,71.7
2026-01-01,MAR031,78.9,82.9,79397,92.5,68.5
2026-01-01,MAR032,86.0,43.3,115893,98.4,34.5
2026-01-01,MAR033,73.0,54.7,183637,98.2,21.4
2026-01-01,MAR034,82.9,46.1,107243,71.5,52.2
2026-01-01,MAR035,85.3,48.1,160127,90.2,44.8
2026-01-01,MAR036,84.3,26.9,48343,92.6,86.8
2026-01-02,MAR001,55.8,55.9,112158,90.8,36.3
2026-01-02,MAR002,48.9,45.4,158633,76.7,82.6
2026-01-02,MAR003,77.4,32.5,36308,95.9,77.0
2026-01-02,MAR004,84.4,78.8,17577,85.3,51.1
2026-01-02,MAR005,92.6,56.9,148218,78.7,52.7
2026-01-02,MAR006,41.3,46.6,148553,63.0,26.1
2026-01-02,MAR007,81.2,31.7,171010,97.5,68.1
2026-01-02,MAR008,50.2,53.3,177476,86.4,37.3
2026-01-02,MAR009,86.8,42.9,175603,89.1,13.5
2026-01-02,MAR010,91.2,20.1,98754,83.2,26.8
